FID,Join_Count,TARGET_FID,objectid,statecode,statename,state_ut,distcode,distname,distarea,totalpopul,totalhh,totpopmale,totpopfema,st_areasha,st_lengths,pointid,grid_code
644,5217,644,618,09,Uttar Pradesh,STATE,194,Jaunpur,4038,4494204,663513,2220465,2273739,4989832665,534183.0147,1166287,97.17710114
645,210,645,649,33,Tamil Nadu,STATE,603,Chennai,175,4646732,1154982,2335844,2310888,185956515.2,72099.55503,3770193,77.248703
646,3053,646,650,33,Tamil Nadu,STATE,618,Nagapattinam,2569,1616450,413837,798127,818323,2681773456,469892.5384,3898312,23.53969955
647,8617,647,651,33,Tamil Nadu,STATE,607,Viluppuram,7194,3458873,800368,1740819,1718054,7579342362,844015.0829,3826856,30.75519943
648,5354,648,652,33,Tamil Nadu,STATE,604,Kancheepuram,4483,3998252,1006245,2012958,1985294,4716386935,425113.6781,3777791,39.60160065
649,5747,649,653,08,Rajasthan,STATE,125,Banswara,4522,1797485,367797,907754,889731,5390800555,422841.0171,1873567,45.46239853
650,2042,650,654,33,Tamil Nadu,STATE,629,Kanniyakumari,1684,1870374,483539,926345,944029,1772542368,229803.1356,4022577,24.22159958
651,5620,651,655,33,Tamil Nadu,STATE,627,Thoothukkudi,4745,1750176,462010,865021,885155,4895938555,473538.0743,4000787,25.61030006
652,7060,652,656,09,Uttar Pradesh,STATE,175,Allahabad,5482,5954391,976733,3131807,2822584,6713460198,584780.1419,1315769,88.09120178
653,2944,653,657,33,Tamil Nadu,STATE,611,The Nilgiris,2565,735394,197653,360143,375251,2580412556,318945.806,3882330,20.06130028
654,8006,654,658,08,Rajasthan,STATE,129,Jhalawar,6219,1411129,283295,725143,685986,7568031355,786393.0038,1590959,61.02750015
655,10916,655,659,08,Rajasthan,STATE,104,Alwar,8380,3674179,639720,1939026,1735153,10611645401,959753.1074,582535,103.2839966
656,8478,656,660,08,Rajasthan,STATE,128,Baran,6992,1222755,241428,633945,588810,8058736005,664332.3336,1419937,59.77339935
657,6344,657,661,08,Rajasthan,STATE,107,Karauli,5524,1458248,262503,783639,674609,6102697967,502101.3986,907944,74.91020203
658,3953,658,662,08,Rajasthan,STATE,106,Dhaulpur,3033,1206516,203754,653647,552869,3804890725,420206.9625,912891,102.0910034
659,6514,659,663,08,Rajasthan,STATE,108,Sawai Madhopur,4498,1335551,254716,704031,631520,6255282200,531116.5765,1001670,73.77770233
660,2933,660,664,36,Telangana,STATE,T5,Jangaon,0,566376,139238,283648,282728,2660089890,342523.6286,3234355,34.44739914
661,4643,661,665,36,Telangana,STATE,T14,Mancherial,0,807037,206983,408272,398765,4222205701,419700.7787,3044028,43.52999878
662,11924,662,666,36,Telangana,STATE,T2,Bhadradri,0,1069261,279190,532390,536871,10770653470,652270.7148,3220091,28.18540001
663,342,663,667,36,Telangana,STATE,T3,Hydrabad,0,3943323,849051,2018575,1924748,310241925,114763.0132,3328721,49.41809845
664,2614,664,668,36,Telangana,STATE,T9,Karimnagar,0,1005711,258485,504620,501091,2372468853,260296.1179,3150527,36.3307991
665,5312,665,669,36,Telangana,STATE,T20,Nizamabad,0,1571022,369031,768477,802545,4830053122,334053.6409,3092908,33.3465004
666,3444,666,670,36,Telangana,STATE,T15,Medak,0,767428,168677,378654,388774,3120221698,334757.846,3223750,36.31980133
667,6206,667,671,36,Telangana,STATE,T23,Rangareddy,0,2446265,563565,1254184,1192081,5587854030,482012.0633,3327481,41.38040161
668,8763,668,672,36,Telangana,STATE,T18,Nalgonda,0,1618416,401728,818306,800110,7884287330,463036.4786,3351011,37.84529877
669,7510,669,673,36,Telangana,STATE,T17,Nagarkurnool,0,861766,196261,437986,423780,6746030542,518027.5616,3423442,35.70470047
670,5046,670,674,36,Telangana,STATE,T1,Adilabad,0,708972,156683,356407,352565,4606403733,362897.2568,2929062,41.71369934
671,5564,671,675,36,Telangana,STATE,T11,Komaram Bheem,0,515812,120420,258197,257615,5069175859,442389.9889,2985838,49.62189865
672,4599,672,676,36,Telangana,STATE,T19,Nirmal,0,709418,165763,346721,362697,4192398509,434664.4022,3035048,36.03219986
673,3477,673,677,36,Telangana,STATE,T4,Jagtial,0,985417,253619,484079,501338,3158495276,253114.77,3081574,37.02809906
674,4416,674,678,36,Telangana,STATE,T8,Kamareddy,0,972625,222513,478389,494236,4006085752,422130.9187,3168315,34.58549881
675,1242,675,679,36,Telangana,STATE,T30,Warangal (U),0,1080858,269180,541301,539557,1124521495,200529.3116,3217285,34.2983017
676,8770,676,680,36,Telangana,STATE,T6,Jayashankar,0,711434,189622,354203,357231,7947654898,476147.9166,3114293,36.41820145
677,2864,677,681,36,Telangana,STATE,T21,Peddapalli,0,795332,209677,399325,396007,2601359537,236133.8066,3115641,39.35480118
678,2234,678,682,36,Telangana,STATE,T22,Rajanna Sircilla,0,552037,138992,274109,277928,2023970332,201153.0838,3154657,36.84550095
679,5392,679,683,36,Telangana,STATE,T24,Sangareddy,0,1527628,329208,777235,750393,4868027651,565894.8252,3213063,35.67810059
680,4579,680,684,36,Telangana,STATE,T25,Siddipet,0,1012065,238049,504141,507924,4136379242,346845.9923,3195755,39.34790039
681,4394,681,685,36,Telangana,STATE,T12,Mahabubabad,0,774549,195889,388058,386491,3969766833,337501.0685,3240912,28.35300064
682,5706,682,686,36,Telangana,STATE,T10,Khammam,0,1401639,382929,699124,702515,5141680050,572514.7545,3316920,30.98500061
683,4245,683,687,36,Telangana,STATE,T26,Suryapet,0,1099560,285691,550974,548586,3822806934,317940.6244,3327656,36.16809845
684,3059,684,688,36,Telangana,STATE,T7,Jogulamba,0,609990,132261,309274,300716,2743274972,257817.2668,3482974,32.09170151
685,4206,685,689,36,Telangana,STATE,T31,Yadadri,0,739448,180677,374719,364729,3788219773,352895.1837,3286151,38.93270111
686,1305,686,690,36,Telangana,STATE,T16,Medchal,0,2440073,593697,1246666,1193407,1175347565,208224.323,3300866,39.74580002
687,2760,687,691,36,Telangana,STATE,T28,Wanaparthy,0,577758,123544,294833,282925,2471574611,289440.3151,3449393,35.96699905
688,4415,688,692,36,Telangana,STATE,T27,Vikarabad,0,927140,194956,463350,463790,3978808365,372343.0483,3309350,37.08760071
689,6257,689,693,36,Telangana,STATE,T13,Mahabubnagar,0,1486777,300508,745101,741676,5627610452,442067.9573,3393025,40.52130127
690,20739,690,41,01,Ladakh,STATE,004,Kargil,14036,140802,18338,77785,63017,21526165823,1151337.471,8868,34.75709915
691,68183,691,34,01,Ladakh,STATE,003,Leh (Ladakh),45110,133487,21909,78971,54516,1.18115E+11,2283245.867,2,31.09189987
